Provinsi,Tahun,Jumlah_Air_Bersih,Kapasitas_Produksi_Potensial_Perusahaan_Air_Bersih,Kapasitas_Produksi_Efektif,Efektifitas_Produksi_Air_Bersih_Perusahaan_Air_Bersih,Jumlah_Pekerja_Perusahaan_Air_Bersih,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Tingkat_SLTA,Jumlah_Pekerja_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Sampai_Dengan_Tingkat_SLTA,Jumlah_Pekerja_Non_Teknis_Perusahaan_Air_Bersih_Yang_Berpendidikan_Diatas_Tingkat_SLTA,Balas_Jasa_Karyawan_Perusahaan_Air_Bersih,Biaya_Bahan_Bakar_dan_Pelumas_yang_Digunakan_Perusahaan_Air_Bersih,Biaya_Listrik_Perusahaan_Air_Bersih,Biaya_Bahan-Bahan_Kimia_Perusahaan_Air_Bersih,Biaya_Penggunaan_Alat_Tulis_dan_Keperluan_Kantor_Perusahaan_Air_Bersih,Biaya_Penggunaan_Suku_Cadang_dan_Pemeliharaan_Kecil_Barang_Modal_Perusahaan_Air_Bersih,Biaya_Sewa_Bangunan_Mesin_Alat-alat_dan_Kendaraan_Perusahaan_Air_Bersih,Biaya_Jasa_jasa_Pengeluaran_Lainnya_Perusahaan_Air_Bersih,Biaya_Operasional_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Sosial_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Non_Niaga_Perusahaan_Air_Bersih ,Jumlah_Pelanggan_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Jumlah_Pelanggan_Kelompok_Khusus_dan_Pelanggan_Lainnya,Volume_Air_Bersih_yang_Disalurkan_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri_Perusahaan_Air_Bersih,Volume_Air_Bersih_Yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelanggan_Lainnya_Perusahaan_Air_Bersih,"Nilai_Air_Bersih_Yang_Disalurkan_Perusahaan_Air_Bersih                                               
",Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Sosial ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Non_Niaga ,Nilai_Air_Bersih_Yang_Disalurkan_Kepada_Kelompok_Niaga_dan_Industri ,Nilai_Air_Bersih_yang_Disalurkan_ke_Pelanggan_Khusus_dan_Pelangan_Lainnya ,Nilai_Pendapatan_dari_Kegiatan_Lain_Perusahaan_Air_Bersih 
Papua Tengah,2019,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Papua Pegunungan,2019,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
Aceh,2020,19,4.426,3.477,"78,56",1.331,599,140,592,391,201,86.312,1.024,"30,371","10,176",975,"1,929",463,"5,05","22,283","211,554","2,435","188,721","20,125",273,"55,892","1,013","41,814","3,31",564,"158,695","2,929","136,58","16,478","2,709",23.251
Sumatera Utara,2020,41,11.782,9.998,"84,86",3.971,1.173,415,2.383,1.528,855,286.991,2.692,"123,759","43,942","17,94","7,729","1,779","23,849","139,651","894,058","10,167","798,487","84,221","1,183","325,447","13,03","257,689","36,582",1.444,"960,93","13,755","757,412","184,783","4,98",100.845
Sumatera Barat,2020,18,6.631,5.101,"76,93",1.599,677,164,758,443,315,108.237,5.382,"13,576","7,835","1,769","3,821","4,576","10,199","87,362","579,634","4,285","555,412","18,738","1,199","109,266","2,27","74,647","5,541",1.184,"344,803","4,014","294,4","42,176","4,212",38.368
Riau,2020,26,2.499,1.502,"60,10",986,476,52,458,254,204,32.265,10.333,"8,561","16,439",429,726,145,"3,814","10,711","89,403",991,"77,706","10,57",136,"18,467",321,"15,219","2,484",77,"86,512","1,035","66,873","18,328",277,19.911
Jambi,2020,11,4.719,3.307,"70,08",1.253,509,144,600,400,200,65.733,1.476,"47,608","14,218","1,239","1,139",156,"3,154","8,922","959,991","7,001","936,221","16,718",51,"49,133","1,146","37,84","3,712",181,"185,147","3,624","153,038","26,979","1,507",37.388
Sumatera Selatan,2020,18,10.000,8.987,"89,87",2.467,988,511,968,664,304,204.073,2.549,"50,419","36,097","6,45","4,256",497,"9,595","43,092","862,169","14,23","791,896","53,553","2,49","197,242","5,286","137,994","18,559",706,"661,481","14,175","503,288","137,958","6,059",44.451
Bengkulu,2020,9,1.966,1.551,"78,89",516,238,44,234,127,107,32.036,806,"8,402","2,844",465,365,192,"9,787","4,266","90,049","1,238","84,487","4,301",23,"24,721",471,"16,286","1,052",51,"79,828",949,"70,128","7,415","1,337",8.010
Lampung,2020,44,1.790,1.356,"75,75",606,220,31,355,235,120,34.744,847,"3,509","2,403",264,986,81,"6,395","3,983","86,22","1,294","79,813","4,787",326,"17,52",503,"14,634","1,576",77,"80,395","1,32","64,921","12,988","1,167",4.379
Kepulauan Bangka Belitung,2020,7,1.053,776,"73,69",313,100,42,171,103,68,21.383,504,"9,141","1,877",620,368,347,"1,917","8,021","31,058",378,"29,706",963,11,"8,725",106,"5,927",326,9,"40,149",488,"35,942","3,548",172,5.195
Kepulauan Riau,2020,14,5.095,4.505,"88,42",893,365,107,421,239,182,119.198,1.930,"76,22","25,512","1,375","4,016","9,854","21,134","43,312","332,724","2,787","283,265","46,655",17,"94,092","2,935","66,496","21,306",10,"540,571","6,167","301,063","233,173",168,77.292
DKI Jakarta,2020,8,22.260,20.992,"94,30",2.226,899,495,832,295,537,520.453,2.963,"175,298","45,035","4,049","5,514","22,932","207,849","622,501","896,782","6,633","760,616","129,516",17,"494,518","7,131","240,813","102,77",2.049,2.838.307,"10,698",1.612.027,1.188.489,"27,093",61.504
Jawa Barat,2020,22,23.742,17.118,"72,10",7.562,2.711,793,4.058,2.462,1.596,822.756,6.702,"139,514","102,653","20,455","17,131","5,427","57,043","304,23",1.878.000,"29,223",1.761.978,"85,1","1,699","419,502","8,989","298,047","27,739",15.134,1.976.089,"24,198",1.580.358,"294,383","77,151",210.252
Jawa Tengah,2020,42,32.171,26.143,"81,26",6.347,2.409,780,3.158,1.905,1.253,538.049,7.939,"138,324","58,073","16,789","14,692","10,074","137,518","381,385",1.804.587,"26,564",1.697.613,"72,531","7,879","485,528","10,941","388,451","26,618",3.297,1.781.953,"27,65",1.508.796,"227,892","17,615",235.809
D.I Yogyakarta,2020,6,2.591,2.134,"82,36",841,425,105,311,206,105,73.952,1.469,"46,672","6,121",944,"1,739","1,002","3,671","44,244","191,558","3,599","184,157","2,752","1,05","47,823","1,036","33,453","1,558",434,"208,35","3,903","181,179","18,903","4,364",16.050
Jawa Timur,2020,38,33.334,28.391,"85,17",6.363,2.698,640,3.025,1.965,1.060,602.435,10.830,"340,08","60,3","4,943","13,419","11,624","99,19","567,4",2.203.955,"30,299",2.047.831,"114,983","10,842","721,847","15,985","479,635","71,177",23.183,2.217.209,"30,963",1.584.114,"529,476","72,657",313.781
Banten,2020,8,10.871,8.602,"79,13",1.383,419,147,817,444,373,167.862,1.518,"70,875","17,061","1,459","5,514","32,085","120,198","325,118","355,754","3,271","332,897","19,48",106,"240,019","2,108","71,291","48,048",103.452,1.229.503,"4,819","368,209","473,298","383,177",55.586
Bali,2020,20,10.047,8.922,"88,80",2.233,1.002,208,1.023,649,374,213.675,2.968,"114,993","31,261","3,619","5,704","1,362","22,872","120,135","483,578","8,689","428,173","46,336",380,"159,537","2,749","109,334","14,751",1.720,"660,419","8,267","474,623","150,771","26,759",88.348
